Unnamed: 0,mra_D1_min,mra_D1_max,mra_D1_mean,mra_D1_sd,mra_D1_range,mra_D1_zero,mra_D2_min,mra_D2_max,mra_D2_mean,mra_D2_sd,mra_D2_range,mra_D2_zero,mra_D3_min,mra_D3_max,mra_D3_mean,mra_D3_sd,mra_D3_range,mra_D3_zero
20,-7928.14530449132,6891.23106983311,-1.44769098972027e-16,306.325995319759,14819.3763743244,3400,-13552.5833151182,16528.8846834364,-4.53911090190517e-16,722.832662317513,30081.4679985546,3400,-16910.5352042755,26654.5718103774,-6.35519157874985e-16,1229.13205815131,43565.1070146529,3400
21,-7928.14530449132,6891.23106983311,-1.44769098972027e-16,306.325995319759,14819.3763743244,3400,-13552.5833151182,16528.8846834364,-4.53911090190517e-16,722.832662317513,30081.4679985546,3400,-16910.5352042755,26654.5718103774,-6.35519157874985e-16,1229.13205815131,43565.1070146529,3400
22,-7928.14530449132,6891.23106983311,-1.44769098972027e-16,306.325995319759,14819.3763743244,3400,-13552.5833151182,16528.8846834364,-4.53911090190517e-16,722.832662317513,30081.4679985546,3400,-16910.5352042755,26654.5718103774,-6.35519157874985e-16,1229.13205815131,43565.1070146529,3400
23,-7928.14530449132,6891.23106983311,-1.44769098972027e-16,306.325995319759,14819.3763743244,3400,-13552.5833151182,16528.8846834364,-4.53911090190517e-16,722.832662317513,30081.4679985546,3400,-16910.5352042755,26654.5718103774,-6.35519157874985e-16,1229.13205815131,43565.1070146529,3400
24,-7928.14530449132,6891.23106983311,-1.44769098972027e-16,306.325995319759,14819.3763743244,3400,-13552.5833151182,16528.8846834364,-4.53911090190517e-16,722.832662317513,30081.4679985546,3400,-16910.5352042755,26654.5718103774,-6.35519157874985e-16,1229.13205815131,43565.1070146529,3400
25,-7928.14530449132,6891.23106983311,-1.44769098972027e-16,306.325995319759,14819.3763743244,3400,-13552.5833151182,16528.8846834364,-4.53911090190517e-16,722.832662317513,30081.4679985546,3400,-16910.5352042755,26654.5718103774,-6.35519157874985e-16,1229.13205815131,43565.1070146529,3400
26,-7928.14530449132,6891.23106983311,-1.44769098972027e-16,306.325995319759,14819.3763743244,3400,-13552.5833151182,16528.8846834364,-4.53911090190517e-16,722.832662317513,30081.4679985546,3400,-16910.5352042755,26654.5718103774,-6.35519157874985e-16,1229.13205815131,43565.1070146529,3400
27,-7928.14530449132,6891.23106983311,-1.44769098972027e-16,306.325995319759,14819.3763743244,3400,-13552.5833151182,16528.8846834364,-4.53911090190517e-16,722.832662317513,30081.4679985546,3400,-16910.5352042755,26654.5718103774,-6.35519157874985e-16,1229.13205815131,43565.1070146529,3400
28,-7928.14530449132,6891.23106983311,-1.44769098972027e-16,306.325995319759,14819.3763743244,3400,-13552.5833151182,16528.8846834364,-4.53911090190517e-16,722.832662317513,30081.4679985546,3400,-16910.5352042755,26654.5718103774,-6.35519157874985e-16,1229.13205815131,43565.1070146529,3400
29,-7928.14530449132,6891.23106983311,-1.44769098972027e-16,306.325995319759,14819.3763743244,3400,-13552.5833151182,16528.8846834364,-4.53911090190517e-16,722.832662317513,30081.4679985546,3400,-16910.5352042755,26654.5718103774,-6.35519157874985e-16,1229.13205815131,43565.1070146529,3400
30,-4.17360472682157e-09,5.3479697384243415e-09,-4.32310693770567e-29,1.19324874023875e-10,9.521574465245911e-09,0,-8.46407482482949e-09,1.32247709379075e-08,-3.0035807447124e-28,2.23058956738761e-10,2.1688845762737e-08,0,-1.00724609905414e-08,1.20979592870316e-08,3.22990531645789e-28,3.59052153131426e-10,2.2170420277573e-08,0
31,-7.710935955104471e-09,1.35583639715213e-08,-3.79208245609249e-29,1.72515202815183e-10,2.12692999266257e-08,198,-1.72645448181881e-08,2.57495719285416e-08,3.47021629060978e-29,3.30089668920498e-10,4.30141167467297e-08,198,-1.84532208584202e-08,2.29141616026793e-08,4.13847696142503e-29,4.866539879798901e-10,4.13673824610994e-08,198
32,-6.75583212539385e-09,1.21847438276192e-08,-8.30691214207955e-29,1.91358652892829e-10,1.89405759530131e-08,0,-1.77169334242075e-08,2.79408883292193e-08,-2.35785979332616e-28,4.14145763868714e-10,4.56578217534268e-08,0,-1.95549135106767e-08,1.30623526769316e-08,2.19048126540765e-28,4.90128380337652e-10,3.26172661876083e-08,0
